entity;coupled;degree;average-revs;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/preconfig/app/dto/ExtendedNavigationElement.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/preconfig/app/dto/ExtendedViewMetadata.java;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LayoutMapper.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LookupHolderMapper.java;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/MetadataApp.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LookupMetadataMapper.java;100;3;;;;;;;;;
rest/docker/docker-compose.yml;rest/metadata-deployer/src/main/resources/application.yml;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/dto/ExtendedFormMetadata.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LayoutMapper.java;100;3;;;;;;;;;
rest/metadata-deployer/src/main/java/io/github/sergeivisotsky/metadata/deployer/DeployerApp.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/MetadataApp.java;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/preconfig/app/dto/ExtendedFormSection.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/preconfig/app/mapper/FormSectionMapper.java;100;3;;;;;;;;;
rest/metadata-deployer/src/main/java/io/github/sergeivisotsky/metadata/deployer/DeployerApp.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/config/AppConfig.java;100;3;;;;;;;;;
graphql/metadata-app/Dockerfile;rest/metadata-app/Dockerfile;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/dto/ExtendedLookupHolder.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LookupHolderMapper.java;100;3;;;;;;;;;
